MAWB,FWB_Status,FWB_Received_In_Time,FWB_Correct,LAT_Status,LAT_Received_In_Time,LAT_Correct,RCS_Status,RCS_Received_In_Time,RCS_Correct,DEP_Status,DEP_Received_In_Time,DEP_Correct,ARR_Status,ARR_Received_In_Time,ARR_Correct,RCF_Status,RCF_Received_In_Time,RCF_Correct,NFD_Status,NFD_Received_In_Time,NFD_Correct
MAWB100000,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100002,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100003,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100004,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100005,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
MAWB100006,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100007,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100008,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100009,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
MAWB100010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100011,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100012,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
MAWB100013,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100014,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100015,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100016,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100017,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100018,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100019,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100020,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100021,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100022,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
MAWB100023,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
MAWB100024,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100025,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100026,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
MAWB100027,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
MAWB100028,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100029,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
MAWB100030,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1
MAWB100031,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100033,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100034,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100035,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
MAWB100036,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1
MAWB100037,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100038,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100039,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1
MAWB100040,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100041,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100042,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100043,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100044,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100045,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100047,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100048,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100050,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100051,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100052,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
MAWB100053,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100054,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
MAWB100055,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100056,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
MAWB100057,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
MAWB100058,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
MAWB100059,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
MAWB100060,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
MAWB100061,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
