MAWB,Carrier_Code,Departure_Year_Month,Export_Main_Office_Company,Export_Main_Office_Branch,Carrier_Service_Level,Trade_Lane_A2A,Departure_Airport_Location,Destination_Airport_Location,Service_Type,Vertical,Commodity,Interline_Shipment,Chargeable_Weight,Handling_Notes
MAWB100000,LH,2025-04,GB,GBLHR,ECO,LHR-ATL,LHR,ATL,EXP,Automotive,Engine Components,Y,1904,"Cargo arrived late at warehouse, truck delay"
MAWB100001,EK,2025-09,FR,FRCDG,PRM,CDG-JNB,CDG,JNB,DGR,Perishables,Fish,N,4756,Perishable cargo split across multiple ULDs - shelf-life documentation updated
MAWB100002,DL,2025-01,GB,GBBRS,DGR,BRS-NRT,BRS,NRT,EXP,Aerospace,Turbine Components,Y,3673.4,
MAWB100003,CX,2025-07,GB,GBBRS,ECO,BRS-SIN,BRS,SIN,EXP,Pharma,Vaccines,Y,3013.4,Flight delay due to weather at origin
MAWB100004,CX,2025-02,US,USATL,ECO,ATL-DEL,ATL,DEL,GEN,Pharma,Insulin,Y,822.3,Shipment processed normally
MAWB100005,SQ,2025-04,FR,FRCDG,GEN,CDG-AMS,CDG,AMS,DGR,Automotive,Car Parts,N,822.2,Shipper delayed cargo handover - JIT production line at risk
MAWB100006,LH,2025-11,GB,GBMAN,ECO,MAN-JFK,MAN,JFK,DGR,Automotive,Engine Components,Y,337.5,Shipment processed normally
MAWB100007,EK,2025-07,AE,AEDXB,PRM,DXB-FRA,DXB,FRA,EXP,Perishables,Vegetables,Y,4337.6,Shipment processed normally
MAWB100008,CX,2025-05,GB,GBBRS,DIM,BRS-PVG,BRS,PVG,DGR,Automotive,Gearboxes,N,3025.5,Incorrect AWB details corrected before departure
MAWB100009,SQ,2025-03,NL,NLAMS,PRM,AMS-ICN,AMS,ICN,DGR,Perishables,Fruit,N,3555,Standard handling completed
MAWB100010,BA,2025-03,SG,SGSIN,XPS,SIN-HKG,SIN,HKG,GEN,Automotive,Engine Components,Y,151.9,
MAWB100011,SQ,2025-10,NL,NLAMS,ECO,AMS-JNB,AMS,JNB,GEN,Retail,Homeware,Y,4851.1,Standard handling completed
MAWB100012,BA,2025-05,AE,AEDXB,PRM,DXB-AMS,DXB,AMS,DGR,Automotive,Car Parts,N,4170.6,No issues reported
MAWB100013,EK,2025-11,AE,AEDXB,DIM,DXB-LHR,DXB,LHR,EXP,Aerospace,Aircraft Parts,Y,1101.1,Shipment processed normally
MAWB100014,CX,2025-08,AE,AEDXB,DGR,DXB-GRU,DXB,GRU,GEN,Pharma,Laboratory Samples,Y,950,Incorrect AWB details corrected before departure
MAWB100015,AF,2025-12,GB,GBBRS,DIM,BRS-DEL,BRS,DEL,DGR,Pharma,Vaccines,N,957.9,
MAWB100016,EK,2025-04,AE,AEDXB,PRM,DXB-LHR,DXB,LHR,EXP,Automotive,Gearboxes,N,1556,Shipment processed normally
MAWB100017,CX,2025-02,DE,DEFRA,XPS,FRA-ICN,FRA,ICN,DGR,Aerospace,Maintenance Kits,Y,2647.5,
MAWB100018,LH,2025-12,SG,SGSIN,XPS,SIN-FRA,SIN,FRA,EXP,Pharma,Vaccines,Y,2188.1,
